Tipo de evento,Código de evento,Fecha de evento,N.º total de impresiones,Versión del firmware,Ayuda
Info,34.02.01,04-abr-2026 19:11:10,40780,2509087_000074,
Info,34.02.01,04-abr-2026 19:11:09,40780,2509087_000074,
Info,34.02.01,04-abr-2026 1:05:31,40686,2509087_000074,
Info,34.02.01,03-abr-2026 21:40:15,40684,2509087_000074,
Info,34.02.01,03-abr-2026 21:40:14,40684,2509087_000074,
Info,34.02.01,03-abr-2026 20:40:25,40684,2509087_000074,
Info,34.02.01,03-abr-2026 20:39:48,40684,2509087_000074,
Info,34.02.01,03-abr-2026 19:24:34,40684,2509087_000074,
Info,34.02.01,03-abr-2026 19:20:44,40684,2509087_000074,
Info,34.02.01,03-abr-2026 19:20:42,40684,2509087_000074,
Info,34.02.01,03-abr-2026 19:10:54,40684,2509087_000074,
Info,34.02.01,03-abr-2026 1:05:12,40684,2509087_000074,
Info,34.02.01,02-abr-2026 20:55:49,40684,2509087_000074,
Info,34.02.01,02-abr-2026 20:39:29,40684,2509087_000074,
Info,34.02.01,02-abr-2026 20:38:56,40684,2509087_000074,
Info,34.02.01,02-abr-2026 20:38:55,40684,2509087_000074,
Info,34.02.01,02-abr-2026 19:24:19,40684,2509087_000074,
Info,34.02.01,02-abr-2026 19:20:33,40684,2509087_000074,
Info,34.02.01,02-abr-2026 19:20:32,40684,2509087_000074,
Info,34.02.01,02-abr-2026 19:10:31,40684,2509087_000074,
Info,34.02.01,02-abr-2026 19:10:29,40684,2509087_000074,
Info,34.02.01,02-abr-2026 1:04:50,40597,2509087_000074,
Info,34.02.01,02-abr-2026 1:04:49,40597,2509087_000074,
Info,34.02.01,01-abr-2026 20:38:28,40574,2509087_000074,
Info,34.02.01,01-abr-2026 20:37:56,40574,2509087_000074,
Info,34.02.01,01-abr-2026 19:23:57,40544,2509087_000074,
Info,34.02.01,01-abr-2026 19:20:16,40544,2509087_000074,
Info,34.02.01,01-abr-2026 19:10:08,40541,2509087_000074,
Info,34.02.01,01-abr-2026 19:10:07,40541,2509087_000074,
Info,34.02.01,01-abr-2026 17:46:46,40513,2509087_000074,
Info,34.02.01,01-abr-2026 17:46:45,40513,2509087_000074,
Info,34.02.01,01-abr-2026 1:04:36,40357,2509087_000074,
Info,34.02.01,01-abr-2026 1:04:35,40357,2509087_000074,
Info,34.02.01,31-mar-2026 20:37:37,40344,2509087_000074,
Info,34.02.01,31-mar-2026 20:36:56,40344,2509087_000074,
Error,13.D2.D2,31-mar-2026 20:18:22,40330,2509087_000074,Errors in the 13.* family are related to jams.
Info,34.02.01,31-mar-2026 19:23:39,40299,2509087_000074,
Info,34.02.01,31-mar-2026 19:19:54,40299,2509087_000074,
Info,34.02.01,31-mar-2026 19:19:53,40299,2509087_000074,
Info,34.02.01,31-mar-2026 19:09:53,40296,2509087_000074,
Info,34.02.01,31-mar-2026 14:56:26,40243,2509087_000074,
Info,34.02.01,31-mar-2026 14:56:22,40243,2509087_000074,
Info,34.02.01,31-mar-2026 1:04:14,40142,2509087_000074,
Info,34.02.01,31-mar-2026 1:04:13,40142,2509087_000074,
Info,34.02.01,30-mar-2026 20:36:47,40130,2509087_000074,
Info,34.02.01,30-mar-2026 20:36:17,40130,2509087_000074,
Info,34.02.01,30-mar-2026 20:36:16,40130,2509087_000074,
Info,34.02.01,30-mar-2026 19:23:18,40112,2509087_000074,
Info,34.02.01,30-mar-2026 19:19:47,40112,2509087_000074,
Info,34.02.01,30-mar-2026 19:19:46,40112,2509087_000074,
Info,34.02.01,30-mar-2026 19:09:28,40102,2509087_000074,
Info,34.02.01,30-mar-2026 13:10:59,40031,2509087_000074,
Info,34.02.01,30-mar-2026 1:04:02,39923,2509087_000074,
Info,34.02.01,29-mar-2026 20:36:13,39923,2509087_000074,
